dt;temp;dew_point;feels_like;humidity;wind_speed;wind_deg
1420261200;26.36;24.21;26.36;88;0;0
1420264800;26.22;23.10;26.22;83;0;0
1420268400;26.07;22.96;26.07;83;0;0
1420272000;25.90;23.76;26.84;88;0;0
1420275600;25.82;23.68;26.76;88;0;0
1420279200;25.87;22.76;26.68;83;0;0
1420282800;25.62;23.48;26.54;88;0;0
1420286400;25.69;23.55;26.61;88;0;0
1420290000;26.32;23.79;26.32;86;5;0
1420293600;27.98;23.13;31.31;75;21;320
1420297200;29.22;22.94;33.02;69;36;40
1420300800;29.89;21.55;32.82;61;41;50
1420304400;30.79;20.11;32.86;53;62;50
1420308000;31.28;18.96;32.68;48;72;20
1420311600;31.56;18.88;32.94;47;72;30
1420315200;31.34;20.31;33.62;52;51;30
1420318800;31.40;20.05;33.51;51;51;20
1420322400;30.06;20.89;32.55;58;57;330
1420326000;29.64;21.32;32.34;61;31;330
1420329600;28.71;22.70;32.10;70;51;320
1420333200;28.08;23.01;31.39;74;31;310
1420336800;27.66;22.83;30.62;75;51;320
1420340400;27.38;22.56;30.04;75;46;310
1420344000;27.03;22.00;29.25;74;0;0
1420347600;26.90;21.87;29.01;74;0;0
1420351200;26.68;21.66;28.61;74;0;0
1420354800;26.39;22.24;26.39;78;0;0
1420358400;26.06;23.92;26.06;88;0;0
1420362000;26.02;23.88;26.02;88;0;0
1420365600;26.10;22.99;26.10;83;0;0
1420369200;25.86;23.72;26.80;88;0;0
1420372800;25.83;23.69;26.77;88;0;0
1420376400;26.37;23.84;26.37;86;36;330
1420380000;27.94;23.75;31.65;78;31;330
1420383600;29.29;22.03;32.41;65;36;330
1420387200;29.86;21.79;32.96;62;41;50
1420390800;30.37;21.18;33.13;58;41;340
1420394400;30.54;22.16;34.12;61;62;30
1420398000;31.10;20.99;33.85;55;62;30
1420401600;31.12;20.71;33.67;54;51;330
1420405200;30.56;21.07;33.27;57;57;320
1420408800;29.53;21.48;32.32;62;51;330
1420412400;28.93;21.94;31.87;66;46;330
1420416000;28.28;22.05;31.07;69;26;330
1420419600;27.65;23.25;30.85;77;36;320
1420423200;27.40;23.01;30.30;77;31;330
1420426800;26.73;23.20;29.23;81;21;310
1420430400;26.57;24.23;26.57;87;434;346
1420434000;26.41;23.29;26.41;83;0;0
1420437600;26.20;24.05;26.20;88;0;0
1420441200;26.15;23.03;26.15;83;0;0
1420444800;26.06;22.95;26.06;83;0;0
1420448400;26.09;22.98;26.09;83;0;0
1420452000;25.87;22.76;26.68;83;0;0
1420455600;25.77;23.25;26.65;86;26;330
1420459200;25.96;23.05;25.96;84;15;330
1420462800;26.44;23.32;26.44;83;15;320
1420466400;27.91;21.70;30.37;69;36;340
1420470000;29.01;21.25;31.53;63;41;20
1420473600;29.65;20.79;32.00;59;51;40
1420477200;30.18;20.72;32.57;57;62;10
1420480800;30.61;20.54;32.95;55;72;360
1420484400;30.67;20.60;33.06;55;62;10
1420488000;30.64;19.97;32.60;53;51;20
1420491600;30.11;20.37;32.26;56;51;20
1420495200;29.14;20.31;31.11;59;62;320
1420498800;28.59;20.60;30.63;62;31;330
1420502400;27.74;20.56;29.60;65;26;320
1420506000;27.30;21.58;29.47;71;21;330
1420509600;27.01;21.98;29.22;74;0;0
1420513200;26.53;21.29;26.53;73;0;0
1420516800;26.59;19.47;26.59;65;0;0
1420520400;26.60;20.45;26.60;69;0;0
1420524000;26.67;20.51;28.25;69;0;0
1420527600;26.68;20.52;28.26;69;0;0
1420531200;26.40;21.39;26.40;74;0;0
1420534800;26.28;21.28;26.28;74;0;0
1420538400;25.65;22.55;26.44;83;0;0
1420542000;25.69;21.98;26.40;80;26;340
1420545600;25.46;22.36;26.23;83;26;40
1420549200;26.11;21.76;26.11;77;26;10
1420552800;27.63;22.35;30.32;73;46;30
1420556400;28.97;21.98;31.95;66;72;30
1420560000;29.63;20.49;31.79;58;51;350
1420563600;30.23;20.19;32.28;55;62;50
1420567200;30.62;19.95;32.57;53;72;20
1420570800;30.67;19.38;32.27;51;62;30
1420574400;30.49;19.21;31.97;51;77;30
1420578000;30.39;19.12;31.81;51;62;360
1420581600;29.44;19.75;31.13;56;51;10
1420585200;28.56;20.57;30.58;62;57;330
1420588800;27.86;20.42;29.68;64;36;40
1420592400;27.35;20.19;28.98;65;31;310
1420596000;26.76;21.29;28.60;72;26;330
1420599600;26.55;21.09;26.55;72;15;330
1420603200;26.35;21.34;26.35;74;0;0
1420606800;26.28;21.28;26.28;74;0;0
1420610400;26.21;21.21;26.21;74;0;0
1420614000;25.97;21.84;25.97;78;0;0
