hour_of_day,day_of_week,month_of_year,year,is_holiday,temperature
0,7,1,2019,0,27.39
1,7,1,2019,0,27.02
2,7,1,2019,0,25.93
3,7,1,2019,0,25.64
4,7,1,2019,0,25.47
5,7,1,2019,0,25.49
6,7,1,2019,0,25.37
7,7,1,2019,0,25.34
8,7,1,2019,0,25.27
9,7,1,2019,0,25.06
10,7,1,2019,0,25.01
11,7,1,2019,0,24.98
12,7,1,2019,0,25.29
13,7,1,2019,0,25.78
14,7,1,2019,0,28.24
15,7,1,2019,0,28.56
16,7,1,2019,0,28.72
17,7,1,2019,0,28.73
18,7,1,2019,0,28.88
19,7,1,2019,0,28.94
20,7,1,2019,0,28.4
21,7,1,2019,0,28.3
22,7,1,2019,0,27.92
23,7,1,2019,0,27.53
0,1,1,2019,0,27.2
1,1,1,2019,0,26.93
2,1,1,2019,0,25.65
3,1,1,2019,0,25.44
4,1,1,2019,0,25.35
5,1,1,2019,0,25.16
6,1,1,2019,0,25.24
7,1,1,2019,0,25.17
8,1,1,2019,0,24.99
9,1,1,2019,0,25
10,1,1,2019,0,25.06
11,1,1,2019,0,24.98
12,1,1,2019,0,25.12
13,1,1,2019,0,25.5
14,1,1,2019,0,28.58
15,1,1,2019,0,28.84
16,1,1,2019,0,29
17,1,1,2019,0,29.18
18,1,1,2019,0,28.94
19,1,1,2019,0,29.04
20,1,1,2019,0,28.72
21,1,1,2019,0,27.66
22,1,1,2019,0,27.42
23,1,1,2019,0,27.15
0,2,1,2019,0,26.87
1,2,1,2019,0,26.74
2,2,1,2019,0,25.61
3,2,1,2019,0,25.49
4,2,1,2019,0,25.37
5,2,1,2019,0,25.18
6,2,1,2019,0,25.13
7,2,1,2019,0,25.04
8,2,1,2019,0,24.75
9,2,1,2019,0,24.63
10,2,1,2019,0,24.68
11,2,1,2019,0,24.46
12,2,1,2019,0,24.8
13,2,1,2019,0,25.16
14,2,1,2019,0,28.64
15,2,1,2019,0,29.06
16,2,1,2019,0,29.41
17,2,1,2019,0,29.89
18,2,1,2019,0,29.68
19,2,1,2019,0,29.49
20,2,1,2019,0,28.51
21,2,1,2019,0,28.02
22,2,1,2019,0,27.65
23,2,1,2019,0,27.41
0,3,1,2019,0,27.06
1,3,1,2019,0,26.76
2,3,1,2019,0,25.66
3,3,1,2019,0,25.53
4,3,1,2019,0,25.49
5,3,1,2019,0,25.32
6,3,1,2019,0,25.18
7,3,1,2019,0,25.09
8,3,1,2019,0,24.9
9,3,1,2019,0,24.89
10,3,1,2019,0,24.94
11,3,1,2019,0,24.71
12,3,1,2019,0,25
13,3,1,2019,0,25.39
14,3,1,2019,0,28.66
15,3,1,2019,0,29.2
16,3,1,2019,0,29.64
17,3,1,2019,0,29.98
18,3,1,2019,0,29.93
19,3,1,2019,0,29.77
20,3,1,2019,0,29.2
21,3,1,2019,0,28.24
22,3,1,2019,0,27.83
23,3,1,2019,0,27.53
0,4,1,2019,0,27.21
1,4,1,2019,0,26.98
2,4,1,2019,0,25.71
3,4,1,2019,0,25.62
4,4,1,2019,0,25.57
5,4,1,2019,0,25.47
6,4,1,2019,0,25.51
7,4,1,2019,0,25.33
8,4,1,2019,0,25.08
9,4,1,2019,0,24.9
10,4,1,2019,0,24.93
11,4,1,2019,0,24.88
12,4,1,2019,0,25.09
13,4,1,2019,0,25.45
14,4,1,2019,0,28.58
15,4,1,2019,0,29.15
16,4,1,2019,0,29.55
17,4,1,2019,0,29.79
18,4,1,2019,0,29.81
19,4,1,2019,0,29.74
20,4,1,2019,0,28.91
21,4,1,2019,0,28.15
22,4,1,2019,0,27.75
23,4,1,2019,0,27.46
0,5,1,2019,0,27.13
1,5,1,2019,0,26.94
2,5,1,2019,0,26
3,5,1,2019,0,25.88
4,5,1,2019,0,25.81
5,5,1,2019,0,25.78
6,5,1,2019,0,25.72
7,5,1,2019,0,25.69
8,5,1,2019,0,25.36
9,5,1,2019,0,25.35
10,5,1,2019,0,25.36
11,5,1,2019,0,25.29
12,5,1,2019,0,25.45
13,5,1,2019,0,25.92
14,5,1,2019,0,28.61
15,5,1,2019,0,28.74
16,5,1,2019,0,28.64
17,5,1,2019,0,28.52
18,5,1,2019,0,28.43
19,5,1,2019,0,28.4
20,5,1,2019,0,27.87
21,5,1,2019,0,27.63
22,5,1,2019,0,27.39
23,5,1,2019,0,27.24
0,6,1,2019,0,27
1,6,1,2019,0,27.01
2,6,1,2019,0,26.4
3,6,1,2019,0,26.25
4,6,1,2019,0,26.16
5,6,1,2019,0,25.95
6,6,1,2019,0,25.9
7,6,1,2019,0,25.87
8,6,1,2019,0,25.7
9,6,1,2019,0,25.61
10,6,1,2019,0,25.58
11,6,1,2019,0,25.57
12,6,1,2019,0,25.63
13,6,1,2019,0,26.01
14,6,1,2019,0,28.61
15,6,1,2019,0,28.93
16,6,1,2019,0,29.15
17,6,1,2019,0,29.38
18,6,1,2019,0,29.37
19,6,1,2019,0,29.47
20,6,1,2019,0,28.84
21,6,1,2019,0,27.99
22,6,1,2019,0,27.77
23,6,1,2019,0,27.53
0,7,1,2019,1,27.35
1,7,1,2019,1,27.23
2,7,1,2019,1,26.47
3,7,1,2019,1,26.29
4,7,1,2019,1,26.2
5,7,1,2019,1,26.13
6,7,1,2019,1,26.05
7,7,1,2019,1,25.96
8,7,1,2019,1,25.7
9,7,1,2019,1,25.81
10,7,1,2019,1,25.7
11,7,1,2019,1,25.51
12,7,1,2019,1,25.92
13,7,1,2019,1,26.53
14,7,1,2019,1,28.78
15,7,1,2019,1,29.09
16,7,1,2019,1,29.23
17,7,1,2019,1,29.64
18,7,1,2019,1,29.46
19,7,1,2019,1,29.46
20,7,1,2019,1,28.57
21,7,1,2019,1,27.78
22,7,1,2019,1,27.49
23,7,1,2019,1,27.35
0,1,1,2019,0,27.04
1,1,1,2019,0,26.94
2,1,1,2019,0,26.03
3,1,1,2019,0,25.77
4,1,1,2019,0,25.61
5,1,1,2019,0,25.46
6,1,1,2019,0,25.25
7,1,1,2019,0,25.14
8,1,1,2019,0,25.12
9,1,1,2019,0,25.39
10,1,1,2019,0,25.43
11,1,1,2019,0,25.45
12,1,1,2019,0,25.59
13,1,1,2019,0,25.9
14,1,1,2019,0,28.73
15,1,1,2019,0,28.89
16,1,1,2019,0,28.97
17,1,1,2019,0,29.13
18,1,1,2019,0,28.95
19,1,1,2019,0,29.11
20,1,1,2019,0,28.82
21,1,1,2019,0,27.54
22,1,1,2019,0,27.17
23,1,1,2019,0,26.64
0,2,1,2019,0,26.5
1,2,1,2019,0,26.34
2,2,1,2019,0,26.06
3,2,1,2019,0,26.03
4,2,1,2019,0,26.06
5,2,1,2019,0,25.99
6,2,1,2019,0,25.88
7,2,1,2019,0,25.54
8,2,1,2019,0,25.37
9,2,1,2019,0,25.33
10,2,1,2019,0,25.62
11,2,1,2019,0,25.59
12,2,1,2019,0,25.89
13,2,1,2019,0,26.78
14,2,1,2019,0,28.43
15,2,1,2019,0,29.36
16,2,1,2019,0,29.82
17,2,1,2019,0,29.78
18,2,1,2019,0,29.7
19,2,1,2019,0,29.54
20,2,1,2019,0,29
21,2,1,2019,0,28.31
22,2,1,2019,0,27.64
23,2,1,2019,0,27.08
0,3,1,2019,0,26.75
1,3,1,2019,0,26.59
2,3,1,2019,0,26.39
3,3,1,2019,0,26.31
4,3,1,2019,0,25.92
5,3,1,2019,0,25.4
6,3,1,2019,0,25.42
7,3,1,2019,0,25.14
8,3,1,2019,0,25.11
9,3,1,2019,0,25.05
10,3,1,2019,0,24.8
11,3,1,2019,0,24.91
12,3,1,2019,0,25.49
13,3,1,2019,0,26.77
14,3,1,2019,0,28.48
15,3,1,2019,0,29.13
16,3,1,2019,0,29.7
17,3,1,2019,0,30.01
18,3,1,2019,0,29.81
19,3,1,2019,0,29.41
20,3,1,2019,0,29.1
21,3,1,2019,0,28.09
22,3,1,2019,0,27.76
23,3,1,2019,0,27.19
0,4,1,2019,0,26.82
1,4,1,2019,0,26.67
2,4,1,2019,0,26.17
3,4,1,2019,0,26.06
4,4,1,2019,0,26.02
5,4,1,2019,0,26.08
6,4,1,2019,0,25.93
7,4,1,2019,0,25.86
8,4,1,2019,0,25.68
9,4,1,2019,0,25.63
10,4,1,2019,0,25.45
11,4,1,2019,0,25.53
12,4,1,2019,0,26.37
13,4,1,2019,0,27.41
14,4,1,2019,0,28.58
15,4,1,2019,0,29.48
16,4,1,2019,0,29.69
17,4,1,2019,0,30.24
18,4,1,2019,0,29.9
19,4,1,2019,0,29.99
20,4,1,2019,0,29.51
21,4,1,2019,0,28.69
22,4,1,2019,0,28.32
23,4,1,2019,0,27.41
0,5,1,2019,0,26.79
1,5,1,2019,0,26.37
2,5,1,2019,0,26.13
3,5,1,2019,0,25.85
4,5,1,2019,0,25.49
5,5,1,2019,0,25.23
6,5,1,2019,0,25.16
7,5,1,2019,0,25.26
8,5,1,2019,0,24.98
9,5,1,2019,0,25.44
10,5,1,2019,0,25.3
11,5,1,2019,0,25.29
12,5,1,2019,0,25.76
13,5,1,2019,0,26.82
14,5,1,2019,0,28.51
15,5,1,2019,0,29.48
16,5,1,2019,0,29.53
17,5,1,2019,0,29.97
18,5,1,2019,0,29.92
19,5,1,2019,0,29.53
