date,hour,load
1/1/2010,1,715.68
1/1/2010,2,688.94
1/1/2010,3,661.92
1/1/2010,4,646.98
1/1/2010,5,630.82
1/1/2010,6,617.76
1/1/2010,7,573.19
1/1/2010,8,588.51
1/1/2010,9,615.19
1/1/2010,10,634.7
1/1/2010,11,647.51
1/1/2010,12,652.74
1/1/2010,13,657.13
1/1/2010,14,655.12
1/1/2010,15,646.71
1/1/2010,16,634.36
1/1/2010,17,627.16
1/1/2010,18,637.7
1/1/2010,19,753.6
1/1/2010,20,757.01
1/1/2010,21,754.44
1/1/2010,22,733.49
1/1/2010,23,696.4
1/1/2010,24,666.21
1/2/2010,1,640.91
1/2/2010,2,618.23
1/2/2010,3,608.71
1/2/2010,4,594.15
1/2/2010,5,593.4
1/2/2010,6,599.95
1/2/2010,7,582.66
1/2/2010,8,650.26
1/2/2010,9,730.41
1/2/2010,10,799.87
1/2/2010,11,820.96
1/2/2010,12,825.91
1/2/2010,13,817.97
1/2/2010,14,799.92
1/2/2010,15,796.25
1/2/2010,16,782.67
1/2/2010,17,761.59
1/2/2010,18,754.4
1/2/2010,19,860.51
1/2/2010,20,842.98
1/2/2010,21,805.55
1/2/2010,22,767.4
1/2/2010,23,727.57
1/2/2010,24,690.36
1/3/2010,1,666.5
1/3/2010,2,639.99
1/3/2010,3,619.57
1/3/2010,4,604.55
1/3/2010,5,596.87
1/3/2010,6,594.32
1/3/2010,7,563.28
1/3/2010,8,593.46
1/3/2010,9,636.37
1/3/2010,10,672.9
1/3/2010,11,712.29
1/3/2010,12,731.81
1/3/2010,13,743.12
1/3/2010,14,734.86
1/3/2010,15,726.41
1/3/2010,16,720.98
1/3/2010,17,710.78
1/3/2010,18,708.04
1/3/2010,19,824.66
1/3/2010,20,814.33
1/3/2010,21,796.01
1/3/2010,22,762.77
1/3/2010,23,715.37
1/3/2010,24,677.06
1/4/2010,1,641.66
1/4/2010,2,621.42
1/4/2010,3,608.61
1/4/2010,4,597.28
1/4/2010,5,602.56
1/4/2010,6,625.5
1/4/2010,7,651.45
1/4/2010,8,814.09
1/4/2010,9,954.77
1/4/2010,10,1025.62
1/4/2010,11,1068.1
1/4/2010,12,1076.57
1/4/2010,13,1082.54
1/4/2010,14,1091.75
1/4/2010,15,1078.67
1/4/2010,16,1029.32
1/4/2010,17,957.56
1/4/2010,18,857.45
1/4/2010,19,929.19
1/4/2010,20,903.09
1/4/2010,21,856.38
1/4/2010,22,813.12
1/4/2010,23,754.68
1/4/2010,24,698.66
1/5/2010,1,664.04
1/5/2010,2,644.88
1/5/2010,3,629.19
1/5/2010,4,620.92
1/5/2010,5,620.38
1/5/2010,6,637.85
1/5/2010,7,661.14
1/5/2010,8,823.43
1/5/2010,9,942.7
1/5/2010,10,1017.43
1/5/2010,11,1051.75
1/5/2010,12,1060.94
1/5/2010,13,1069.34
1/5/2010,14,1087.55
1/5/2010,15,1065.07
1/5/2010,16,1018.98
1/5/2010,17,954.14
1/5/2010,18,860.78
1/5/2010,19,929.62
1/5/2010,20,901.09
1/5/2010,21,857.31
1/5/2010,22,804.69
1/5/2010,23,751.24
1/5/2010,24,700.33
1/6/2010,1,652.94
1/6/2010,2,626.8
1/6/2010,3,616.23
1/6/2010,4,603.93
1/6/2010,5,609.52
1/6/2010,6,624.27
1/6/2010,7,648.35
1/6/2010,8,807.48
1/6/2010,9,936.96
1/6/2010,10,1016.64
1/6/2010,11,1057.59
1/6/2010,12,1055.67
1/6/2010,13,1060.33
1/6/2010,14,1077.83
1/6/2010,15,1062.46
1/6/2010,16,1011.06
1/6/2010,17,943.74
1/6/2010,18,852.54
1/6/2010,19,920.51
1/6/2010,20,892.96
1/6/2010,21,849.07
1/6/2010,22,806.93
1/6/2010,23,752.25
1/6/2010,24,703.78
1/7/2010,1,667.36
1/7/2010,2,643.75
1/7/2010,3,626.32
1/7/2010,4,623.29
1/7/2010,5,625.76
1/7/2010,6,647.96
1/7/2010,7,668.97
1/7/2010,8,821.9
1/7/2010,9,957.23
1/7/2010,10,1032.84
1/7/2010,11,1064.73
1/7/2010,12,1073.82
1/7/2010,13,1071.61
1/7/2010,14,1093.59
1/7/2010,15,1085.22
1/7/2010,16,1023.04
1/7/2010,17,951.72
1/7/2010,18,865.78
1/7/2010,19,916.25
1/7/2010,20,883.27
1/7/2010,21,848.61
1/7/2010,22,803.83
1/7/2010,23,760.16
1/7/2010,24,712.57
1/8/2010,1,681.35
1/8/2010,2,653.72
1/8/2010,3,639.01
1/8/2010,4,632.7
1/8/2010,5,632.78
1/8/2010,6,651.66
1/8/2010,7,679.94
1/8/2010,8,825.96
1/8/2010,9,944.62
1/8/2010,10,1028.22
